CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/28/2016,14:50,,,40.56757,-73.88277,"(40.56757, -73.88277)",BEACH CHANNEL DRIVE             ,BEACH 169 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3457960,4 dr sedan,4 dr sedan,,,
05/28/2016,11:10,,,40.761223,-73.9238,"(40.761223, -73.9238)",33 STREET                       ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3452439,Taxi,,,,
05/28/2016,10:45,,,40.61443,-74.039566,"(40.61443, -74.039566)",Belt Pkwy                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3446552,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/28/2016,16:25,,,40.61443,-74.039566,"(40.61443, -74.039566)",Belt Pkwy                       ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,,3446995,4 dr sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
05/28/2016,20:45,BROOKLYN,11226,40.650528,-73.95583,"(40.650528, -73.95583)",BEDFORD AVENUE                  ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3450308,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/28/2016,2:40,QUEENS,11420,40.666332,-73.81056,"(40.666332, -73.81056)",SOUTH CONDUIT AVENUE            ,130 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3451713,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/28/2016,0:00,BROOKLYN,11226,40.646645,-73.95547,"(40.646645, -73.95547)",,,2313      TILDEN AVENUE                 ,1,0,1,0,0,0,0,0,Unspecified,,,,,3447286,4 dr sedan,,,,
05/28/2016,6:07,MANHATTAN,10005,40.708614,-74.00938,"(40.708614, -74.00938)",LIBERTY STREET                  ,NASSAU STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3447529,Carry All,4 dr sedan,,,
05/28/2016,6:00,MANHATTAN,10003,40.73543,-73.982704,"(40.73543, -73.982704)",2 AVENUE                        ,EAST 19 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3447920,Taxi,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,11:40,QUEENS,11363,40.765705,-73.741264,"(40.765705, -73.741264)",NORTHERN BOULEVARD              ,245 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3452162,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,8:30,,,40.7135,-73.75607,"(40.7135, -73.75607)",204 STREET                      ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3451406,Box Truck,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,4 dr sedan,4 dr sedan
05/28/2016,20:20,,,40.75776,-73.7834,"(40.75776, -73.7834)",NORTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3452166,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/28/2016,11:00,MANHATTAN,10022,40.759308,-73.9653,"(40.759308, -73.9653)",2 AVENUE                        ,EAST 57 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3458997,Sedan,4 dr sedan,,,
05/28/2016,22:50,,,40.722572,-73.851364,"(40.722572, -73.851364)",AUSTIN STREET                   ,YELLOWSTONE BOULEVARD,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3452247,Pick-up Truck,Van,,,
